GEO,CROPS,STRUCPRO\TIME	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Mecklenburg-Vorpommern,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Niedersachsen,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Braunschweig,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Hannover,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Lüneburg,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Weser-Ems,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Nordrhein-Westfalen,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Düsseldorf,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Köln,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Münster,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Detmold,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Arnsberg,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Rheinland-Pfalz,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Koblenz,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Trier,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Rheinhessen-Pfalz,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Saarland,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Saarland,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Sachsen,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Dresden,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Chemnitz,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Leipzig,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Sachsen-Anhalt,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Sachsen-Anhalt,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Schleswig-Holstein,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Schleswig-Holstein,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Thüringen,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Thüringen,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Extra-Regio NUTS 1,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Extra-Regio NUTS 2,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Estonia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	124.30	124.20	154.40	169.70	164.50	169.75	154.58	166.98	168.04	:
Eesti,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Extra-Regio NUTS 1,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Extra-Regio NUTS 2,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Ireland,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	98.03	60.60	71.61	65.33	67.92	67.05	57.98	63.48	46.41 p	62.02 p
Éire/Ireland,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Northern and Western,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Southern,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Eastern and Midland,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Border, Midland and Western (NUTS 2013),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Southern and Eastern (NUTS 2013),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Extra-Regio NUTS 1,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Extra-Regio NUTS 2,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Greece,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	563.20	579.27	545.38	488.20	537.59	415.95	404.49	350.49	331.73 e	316.86
Voreia Ellada (NUTS 2010),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Anatoliki Makedonia, Thraki (NUTS 2010),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Kentriki Makedonia (NUTS 2010),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Dytiki Makedonia (NUTS 2010),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Thessalia (NUTS 2010),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Kentriki Ellada (NUTS 2010),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Ipeiros (NUTS 2010),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Ionia Nisia (NUTS 2010),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Dytiki Ellada (NUTS 2010),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Sterea Ellada (NUTS 2010),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Peloponnisos (NUTS 2010),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Attiki,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Attiki,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Nisia Aigaiou, Kriti,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Nisia Aigaiou,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Voreio Aigaio,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
Notio Aigaio,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	:	:	:	:	:	:	:	:	:	:
