GEO,CROPS,STRUCPRO\TIME	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Switzerland,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	519.31	488.36	557.07	533.21	391.11	536.65	502.85	503.02 p	543.45	:
United Kingdom,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	13,183.90	11,851.69	16,509.45	16,348.40	14,215.76	14,664.48	13,397.38	16,035.85	10,015.17 p	:
Montenegro,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	1.46	2.33	2.18	2.13	2.38 p	2.49 p	2.50 p	2.17 p	:	:
North Macedonia,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	217.46	261.97	291.30	203.56	310.00	202.44	243.91	242.71	248.89	236.22 e
Albania,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	296.51	:	276.74	271.80	271.80	:	237.51	233.20	233.40	:
Serbia,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	2,399.22	2,690.27	2,387.20	2,428.20	2,885.00	2,275.60	2,941.60	2,534.64	2,873.50	:
Turkey,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	20,107.00	22,064.00	19,006.00	22,605.00	21,467.53	22,407.29	20,664.59	19,799.52	21,338.47	:
Bosnia and Herzegovina,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	227.75 e	268.24 e	172.03 e	215.49 e	310.17 e	292.10 e	299.25 e	267.85 e	325.55 e	:
Kosovo (under United Nations Security Council Resolution 1244/99),Wheat and spelt,Harvested production in EU standard humidity (1000 t)	345.00	391.70	328.20 e	304.40	365.70	320.10	280.60	285.00	:	:
European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020),Wheat and spelt,Yield in EU standard humidity (tonne/ha)	:	:	:	:	:	:	:	:	:	:
European Union - 27 countries (from 2020),Wheat and spelt,Yield in EU standard humidity (tonne/ha)	:	:	:	:	:	:	:	:	:	:
European Union - 28 countries (2013-2020),Wheat and spelt,Yield in EU standard humidity (tonne/ha)	:	:	:	:	:	:	:	:	:	:
Belgium,Wheat and spelt,Yield in EU standard humidity (tonne/ha)	:	:	:	9.33	6.64	8.56	8.49	9.33	9.04 p	:
Bulgaria,Wheat and spelt,Yield in EU standard humidity (tonne/ha)	:	:	:	4.65	4.98	5.52	4.91	5.27	4.01	:
Czechia,Wheat and spelt,Yield in EU standard humidity (tonne/ha)	4.32	5.67	6.51	6.36	6.50	5.67	5.39	5.73	6.14	6.26
Denmark,Wheat and spelt,Yield in EU standard humidity (tonne/ha)	:	:	:	:	7.12	8.15	6.16	8.10	8.10	7.17
Germany (until 1990 former territory of the FRG),Wheat and spelt,Yield in EU standard humidity (tonne/ha)	7.33	8.00	8.63	8.09	7.64	7.64	6.67	7.40	7.82	7.25
Estonia,Wheat and spelt,Yield in EU standard humidity (tonne/ha)	3.90	3.28	3.99	4.79	2.77	4.20	2.91	5.07	5.00	:
Ireland,Wheat and spelt,Yield in EU standard humidity (tonne/ha)	6.67	8.66	9.46	10.00	8.99	9.46	8.37	9.38	7.78 p	9.22 p
Greece,Wheat and spelt,Yield in EU standard humidity (tonne/ha)	2.91	2.96	3.19	2.44	3.10	2.46	2.65	2.79	2.59	2.81
Spain,Wheat and spelt,Yield in EU standard humidity (tonne/ha)	:	:	:	3.05	3.63	2.44	4.03	3.15	4.25	4.20 p
France,Wheat and spelt,Yield in EU standard humidity (tonne/ha)	:	:	:	7.71	5.23	7.17	6.76	7.75	6.66	7.23
Croatia,Wheat and spelt,Yield in EU standard humidity (tonne/ha)	5.36	4.96	4.15	5.36	5.70	5.87	5.44	5.59	6.05	5.97
